ID;Name;Name2;Groesse;Typ;Beschreibung;Bereich;Ballspielplatz;Skater;Streetball;Latitude;Longitude
754;Sp Fichtenweg;Fichtenweg;2069;3;3 - Alle Altersklassen;A;integriert;;ja;7.657179640933186; 51.910707342856689
755;Sp Pestalozzistrasse;Pestalozzistrasse;1060;2;2 - Wohngebietsspielplatz;B/C;integriert;;;7.602688095915992; 52.000412857809728
756;Sp Galgenheide;Galgenheide;472;2;2 - Wohngebietsspielplatz;B/C;;;;7.597820962690981; 51.925852768688017
757;Sp Frankenweg;Frankenweg;1231;2;2 - Wohngebietsspielplatz;B/C;;;;7.673678626242277; 51.919945303837714
761;Sp Uferstrasse;Uferstrasse;444;2;2 - Wohngebietsspielplatz;B/C;;;;7.705246552884541; 51.91704287670607
762;Sp Am Steintor;Am Steintor;450;2;2 - Wohngebietsspielplatz;B/C;;;;7.729518809474019; 51.915527563151137
763;Sp Liboristrasse;Liboristrasse;1290;1;1 - Kleinkindspielplatz;C;;;;7.653151170529879; 51.954064806681679
764;Sp Kirchhoffweg;Kirchhoffweg;600;2;2 - Wohngebietsspielplatz;B/C;;;;7.597331189848346; 51.989626496063927
765;Sp Am Hof Hesselmann;Am Hof Hesselmann;1494;2;2 - Wohngebietsspielplatz;B/C;;;;7.577766253597205; 51.931598449381148
766;Sp Rubensstrasse;Rubensstrasse;425;2;2 - Wohngebietsspielplatz;B/C;;;;7.675305281663702; 51.902194145639157
767;Sp Alte Schanze;Alte Schanze;1030;2;2 - Wohngebietsspielplatz;B/C;;;;7.589875344623756; 51.999891765262767
768;Sp Kleihorststrasse   (Ballspielplatz);Kleihorststrasse   (Ballspielplatz);1151;4;4 - Zentraler Spielplatz;A+B/C;separat;;;7.599922196554327; 51.938694841817089
769;Sp Elisabeth-Kirchplatz;Elisabeth-Kirchplatz;886;2;2 - Wohngebietsspielplatz;B/C;;;;7.641391478269086; 51.954738726905852
771;Sp Aasee: Mecklenbecker Strasse;Aasee: Mecklenbecker Strasse;866;2;2 - Wohngebietsspielplatz;B/C;;;;7.602167193339966; 51.94694562791129
772;Sp Von-Ossietzky-Strasse;Von-Ossietzky-Strasse;1790;4;4 - Zentraler Spielplatz;A+B/C;;;;7.601058977683886; 51.942357523574387
773;Sp Am Hauptzentrum Kinderhaus;Am Hauptzentrum Kinderhaus;800;2;2 - Wohngebietsspielplatz;B/C;;;;7.605350519291826; 51.994862820691424
